상품명,가격,평점,리뷰 수,링크,이미지 파일
"애플망고 (냉동), 1kg, 1개",0,0.0,0,https://www.coupang.com/vp/products/8273352080?itemId=23846116002&vendorItemId=90869563006&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\애플망고 (냉동), 1kg, 1개.jpg"
"스텔라나 베트남산 바나나, 1kg, 1개",0,0.0,0,https://www.coupang.com/vp/products/7312490308?itemId=18808408590&vendorItemId=85939009961&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\스텔라나 베트남산 바나나, 1kg, 1개.jpg"
"곰곰 완숙 토마토, 1kg, 1개",0,0.0,0,https://www.coupang.com/vp/products/7665795963?itemId=20435225557&vendorItemId=87516110646&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 완숙 토마토, 1kg, 1개.jpg"
"당도선별 11brix 수박, 6kg이상, 1개",0,0.0,0,https://www.coupang.com/vp/products/7251153411?itemId=25717107490&vendorItemId=85586788441&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\당도선별 11brix 수박, 6kg이상, 1개.jpg"
"델몬트 베트남산 바나나, 1개, 800g",0,0.0,0,https://www.coupang.com/vp/products/8586474173?itemId=24892800506&vendorItemId=91899408696&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\델몬트 베트남산 바나나, 1개, 800g.jpg"
"프레쉬팜 골드 파인애플 스틱, 1kg, 1개",0,0.0,0,https://www.coupang.com/vp/products/4972302070?itemId=6603812777&vendorItemId=73897730910&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\프레쉬팜 골드 파인애플 스틱, 1kg, 1개.jpg"
"곰곰 머스크 멜론, 1.2kg, 1개",0,0.0,0,https://www.coupang.com/vp/products/5202948727?itemId=18866271467&vendorItemId=85995138763&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 머스크 멜론, 1.2kg, 1개.jpg"
"대추 방울 토마토, 1kg, 1팩",0,0.0,0,https://www.coupang.com/vp/products/7623790443?itemId=20218451706&vendorItemId=87308082722&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\대추 방울 토마토, 1kg, 1팩.jpg"
"곰곰 대추방울토마토, 1kg, 1개",0,0.0,0,https://www.coupang.com/vp/products/7665795956?itemId=20435225603&vendorItemId=87516110692&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 대추방울토마토, 1kg, 1개.jpg"
"곰곰 당도선별 수박 (11 brix 이상), 9kg 이상, 1개",0,0.0,0,https://www.coupang.com/vp/products/5341974172?itemId=19292399761&vendorItemId=70805473858&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\곰곰 당도선별 수박 (11 brix 이상), 9kg 이상, 1개.jpg"
"프레샤인 사과, 1kg(소과, 6입내), 1봉",0,0.0,0,https://www.coupang.com/vp/products/6581336828?itemId=14811918226&vendorItemId=82051581908&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\프레샤인 사과, 1kg(소과, 6입내), 1봉.jpg"
"산지직송 아주마 비파괴 당도 선별 영동 상주산 샤인머스켓, 600g, 1박스",0,0.0,0,https://www.coupang.com/vp/products/6091240098?itemId=11796676097&vendorItemId=79070270195&sourceType=CAMPAIGN&campaignId=82&categoryId=194182,"product_images\산지직송 아주마 비파괴 당도 선별 영동 상주산 샤인머스켓, 600g, 1박스.jpg"
