국가,지수명,가격,일별 변동,일별 %,주간 %,월간 %,YTD %,YoY %,날짜,국기 파일 경로
EA,EU50,5347,10,0.19%,1.07%,0.83%,9.22%,10.46%,2025-07-29,flags\EA.png
EA,EU350,2223.78,5.69,-0.26%,0.51%,1.06%,7.86%,6.76%,2025-07-25,flags\EA.png
BA,SASX-10,1410,5,-0.35%,0.91%,4.50%,14.49%,32.48%,2025-07-28,flags\BA.png
CY,CSE General,264,0,-0.05%,1.56%,4.31%,22.42%,60.03%,2025-07-28,flags\CY.png
EE,Tallinn,2042,6,-0.30%,-0.57%,-1.33%,17.83%,17.76%,2025-07-28,flags\EE.png
LV,Riga,905,14,1.60%,1.94%,1.27%,4.07%,4.20%,2025-07-28,flags\LV.png
IS,ICEX,2134,31,1.45%,2.24%,3.36%,-10.66%,5.57%,2025-07-28,flags\IS.png
MK,MBI 10,10538,40,0.38%,2.01%,-0.26%,3.31%,24.72%,2025-07-28,flags\MK.png
MT,MSE,3792,4,-0.09%,0.84%,-0.37%,0.67%,1.87%,2025-07-25,flags\MT.png
ME,Monex,17508.61,0.00,0.00%,0.31%,-0.27%,6.54%,15.91%,2025-07-28,flags\ME.png
DE,DE Mid,31029.09,455.28,-1.45%,-0.99%,1.79%,21.26%,23.63%,2025-07-28,flags\DE.png
DE,DE Small,17831.28,1.80,0.01%,-0.56%,1.53%,30.05%,26.27%,2025-07-28,flags\DE.png
EA,Euro Stoxx Banks,211.53,0.19,-0.09%,3.41%,5.24%,44.84%,46.14%,2025-07-28,flags\EA.png
US,US500,6398.98,9.21,0.14%,1.42%,3.13%,8.80%,17.71%,2025-07-29,flags\US.png
US,US30,44872,34,0.08%,0.83%,1.76%,5.47%,10.13%,2025-07-29,flags\US.png
US,US100,23424,68,0.29%,1.56%,3.29%,11.48%,24.62%,2025-07-29,flags\US.png
EC,Ecuador General,1289,15,1.21%,0.34%,3.95%,9.30%,13.65%,2025-07-24,flags\EC.png
CA,TSX,27405,89,-0.32%,0.32%,2.04%,10.83%,20.31%,2025-07-28,flags\CA.png
BR,IBOVESPA,132129,"1,395",-1.04%,-1.52%,-4.84%,9.85%,4.08%,2025-07-28,flags\BR.png
MX,IPC,57084,240,-0.42%,2.22%,-0.64%,15.21%,8.70%,2025-07-28,flags\MX.png
PE,Peru General,33387,127,-0.38%,1.23%,1.96%,15.28%,12.48%,2025-07-25,flags\PE.png
AR,Merval,2214697,"17,599",0.80%,8.43%,11.02%,-12.59%,49.52%,2025-07-28,flags\AR.png
VE,IBC,535,"532,178",-99.90%,-99.89%,-99.86%,-99.55%,-99.40%,2025-07-28,flags\VE.png
CO,COLCAP,1762,53,3.11%,1.14%,5.23%,27.75%,31.62%,2025-07-28,flags\CO.png
CL,IGPA,40580,680,-1.65%,-0.58%,-2.04%,20.47%,23.71%,2025-07-28,flags\CL.png
PA,BVPSI,491,1,-0.19%,-1.11%,0.59%,5.30%,11.20%,2025-07-28,flags\PA.png
BM,BSX,2759,0,0.00%,-6.72%,-5.29%,10.43%,5.00%,2025-07-28,flags\BM.png
JM,JSE,304111,"1,126",0.37%,-0.27%,-4.16%,-9.44%,-2.97%,2025-07-28,flags\JM.png
US,US1000,3496.81,0.08,0.00%,1.34%,2.98%,8.56%,17.18%,2025-07-28,flags\US.png
JP,JP225,40660,338,-0.83%,2.23%,0.43%,1.92%,5.54%,2025-07-29,flags\JP.png
CN,SHANGHAI,3598,4,0.12%,1.07%,4.46%,7.34%,24.42%,2025-07-28,flags\CN.png
CN,CSI 300,4136,9,0.21%,1.23%,5.07%,5.11%,21.97%,2025-07-28,flags\CN.png
CN,SHANGHAI 50,2803,7,0.26%,1.10%,3.35%,4.40%,19.34%,2025-07-28,flags\CN.png
CN,CH50,13991.68,26.62,0.19%,0.70%,3.34%,3.54%,18.37%,2025-07-28,flags\CN.png
IN,SENSEX,80891,572,-0.70%,-1.59%,-3.25%,3.52%,-0.57%,2025-07-28,flags\IN.png
BD,DSE Broad,5332,23,-0.43%,2.15%,10.17%,2.22%,0.03%,2025-07-28,flags\BD.png
